from_source,from_bdy,from_id,from_name,to_source,to_bdy,to_id,to_name,address_count,address_percent
abs 2016,poa,POA3104,3104,abs 2016,lga,LGA26980,Whitehorse (C),102,1.1025835044860015
abs 2016,poa,POA3105,3105,abs 2016,lga,LGA24210,Manningham (C),5560,100
abs 2016,poa,POA3106,3106,abs 2016,lga,LGA24210,Manningham (C),7357,100
abs 2016,poa,POA3107,3107,abs 2016,lga,LGA24210,Manningham (C),6473,100
abs 2016,poa,POA3108,3108,abs 2016,lga,LGA24210,Manningham (C),14130,100
abs 2016,poa,POA3109,3109,abs 2016,lga,LGA24210,Manningham (C),14906,100
abs 2016,poa,POA3111,3111,abs 2016,lga,LGA24210,Manningham (C),5581,100
abs 2016,poa,POA3113,3113,abs 2016,lga,LGA24210,Manningham (C),2378,67.82658300057045
abs 2016,poa,POA3113,3113,abs 2016,lga,LGA25710,Nillumbik (S),1128,32.17341699942955
abs 2016,poa,POA3114,3114,abs 2016,lga,LGA24210,Manningham (C),1375,97.93447293447294
abs 2016,poa,POA3114,3114,abs 2016,lga,LGA24410,Maroondah (C),29,2.0655270655270654
abs 2016,poa,POA3115,3115,abs 2016,lga,LGA27450,Yarra Ranges (S),152,10.263335584064821
abs 2016,poa,POA3115,3115,abs 2016,lga,LGA24210,Manningham (C),1221,82.4442943956786
abs 2016,poa,POA3115,3115,abs 2016,lga,LGA24410,Maroondah (C),108,7.292370020256583
abs 2016,poa,POA3116,3116,abs 2016,lga,LGA27450,Yarra Ranges (S),5290,100
abs 2016,poa,POA3121,3121,abs 2016,lga,LGA27350,Yarra (C),24736,100
abs 2016,poa,POA3122,3122,abs 2016,lga,LGA21110,Boroondara (C),15976,100
abs 2016,poa,POA3123,3123,abs 2016,lga,LGA21110,Boroondara (C),9769,100
abs 2016,poa,POA3124,3124,abs 2016,lga,LGA21110,Boroondara (C),11961,100
abs 2016,poa,POA3125,3125,abs 2016,lga,LGA26980,Whitehorse (C),7202,82.91503568961546
abs 2016,poa,POA3125,3125,abs 2016,lga,LGA24970,Monash (C),1484,17.084964310384525
abs 2016,poa,POA3126,3126,abs 2016,lga,LGA21110,Boroondara (C),3992,100
abs 2016,poa,POA3127,3127,abs 2016,lga,LGA26980,Whitehorse (C),5255,53.902964406605804
abs 2016,poa,POA3127,3127,abs 2016,lga,LGA21110,Boroondara (C),4494,46.09703559339419
abs 2016,poa,POA3128,3128,abs 2016,lga,LGA26980,Whitehorse (C),15310,100
abs 2016,poa,POA3129,3129,abs 2016,lga,LGA26980,Whitehorse (C),8989,100
abs 2016,poa,POA3130,3130,abs 2016,lga,LGA26980,Whitehorse (C),16453,100
abs 2016,poa,POA3131,3131,abs 2016,lga,LGA26980,Whitehorse (C),12089,98.69377092007511
abs 2016,poa,POA3131,3131,abs 2016,lga,LGA24210,Manningham (C),160,1.3062290799248917
abs 2016,poa,POA3132,3132,abs 2016,lga,LGA26980,Whitehorse (C),9072,100
abs 2016,poa,POA3133,3133,abs 2016,lga,LGA26980,Whitehorse (C),9560,98.16202895574494
abs 2016,poa,POA3133,3133,abs 2016,lga,LGA24410,Maroondah (C),179,1.837971044255057
abs 2016,poa,POA3134,3134,abs 2016,lga,LGA24410,Maroondah (C),18228,97.89473684210527
abs 2016,poa,POA3134,3134,abs 2016,lga,LGA24210,Manningham (C),392,2.1052631578947367
abs 2016,poa,POA3135,3135,abs 2016,lga,LGA24410,Maroondah (C),9890,100
abs 2016,poa,POA3136,3136,abs 2016,lga,LGA24410,Maroondah (C),22878,100
abs 2016,poa,POA3137,3137,abs 2016,lga,LGA24410,Maroondah (C),2298,29.70911441499677
abs 2016,poa,POA3137,3137,abs 2016,lga,LGA27450,Yarra Ranges (S),5437,70.29088558500322
abs 2016,poa,POA3138,3138,abs 2016,lga,LGA27450,Yarra Ranges (S),10341,100
abs 2016,poa,POA3139,3139,abs 2016,lga,LGA27450,Yarra Ranges (S),6664,100
abs 2016,poa,POA3140,3140,abs 2016,lga,LGA27450,Yarra Ranges (S),9800,100
abs 2016,poa,POA3141,3141,abs 2016,lga,LGA26350,Stonnington (C),20046,81.26646937203552
abs 2016,poa,POA3141,3141,abs 2016,lga,LGA24600,Melbourne (C),4621,18.733530627964488
abs 2016,poa,POA3142,3142,abs 2016,lga,LGA26350,Stonnington (C),8961,100
abs 2016,poa,POA3143,3143,abs 2016,lga,LGA26350,Stonnington (C),6963,100
abs 2016,poa,POA3144,3144,abs 2016,lga,LGA26350,Stonnington (C),6925,100
abs 2016,poa,POA3145,3145,abs 2016,lga,LGA22310,Glen Eira (C),980,7.191077194012327
abs 2016,poa,POA3145,3145,abs 2016,lga,LGA26350,Stonnington (C),12648,92.80892280598766
abs 2016,poa,POA3146,3146,abs 2016,lga,LGA26350,Stonnington (C),5649,43.09910734721905
abs 2016,poa,POA3146,3146,abs 2016,lga,LGA21110,Boroondara (C),7458,56.90089265278095
abs 2016,poa,POA3147,3147,abs 2016,lga,LGA24970,Monash (C),3839,50.321143006947175
abs 2016,poa,POA3147,3147,abs 2016,lga,LGA21110,Boroondara (C),3790,49.678856993052825
abs 2016,poa,POA3148,3148,abs 2016,lga,LGA24970,Monash (C),5248,100
abs 2016,poa,POA3149,3149,abs 2016,lga,LGA24970,Monash (C),18118,100
abs 2016,poa,POA3150,3150,abs 2016,lga,LGA24970,Monash (C),29779,100
